,AUPRC
"Lymphoma, Large-Cell, Follicular",0.03723828308360091
Proliferative vitreoretinopathy,0.058086703839780984
NEUROTICISM,0.03191297565900043
Infectious Otitis Media,0.05261599682886245
Childhood Leiomyosarcoma,0.0442152189693644
Plasmacytoma,0.05325306176368931
Parasitemia,0.03716606270349049
Dysmorphic features,0.042382343236337314
Metastatic castration-resistant prostate cancer,0.04187490823227796
Teratocarcinoma,0.08073615965824787
SVEINSSON CHORIORETINAL ATROPHY,0.03969110673335787
MAJOR AFFECTIVE DISORDER 1,0.035921387804466874
Motor neuron atrophy,0.039658436606337166
Chikungunya Fever,0.049165784347459066
Cancer of Nasopharynx,0.042294232493065964
MAJOR AFFECTIVE DISORDER 4,0.036041088590541344
MAJOR AFFECTIVE DISORDER 6,0.03670031379023138
Lipodystrophy,0.050150807170518036
Photoreceptor degeneration,0.04143496555526406
Acromegaly,0.10237065239152081
Endometrial Hyperplasia,0.052214688624991165
Myelodysplasia,0.048257994014948735
"Ataxia, Spinocerebellar",0.03998784662882745
Premature aging syndrome,0.05080995674303553
Malignant neoplasm of nasopharynx,0.043752069591926894
Chordoma,0.04245573792040316
Undifferentiated carcinoma,0.05542478775844722
Epileptic encephalopathy,0.05040034127417302
"Muscular Dystrophy, Facioscapulohumeral",0.07427852045665519
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,0.03980735123811852
Non-arthropod borne lymphocytic choriomeningitis,0.06083040866680484
Machado-Joseph Disease,0.06431343296342494
Marinesco-Sjogren syndrome,0.03688718166050146
Actinic keratosis,0.03619350033986584
Xeroderma Pigmentosum,0.0992936199428416
NONAKA MYOPATHY,0.04196846145101784
Childhood Anaplastic Large Cell Lymphoma,0.07077074868289794
Spina Bifida,0.07092763165223466
"Adenocarcinoma, Endometrioid",0.045360202172513804
Keloid,0.07327591803922832
Dissection of aorta,0.04492549326095917
"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 1",0.06034526416442132
Diabetic peripheral neuropathy,0.04995019277938605
Hepatolenticular Degeneration,0.03664289023305407
"Mental Retardation, X-Linked",0.03982636701355941
Adult Anaplastic Large Cell Lymphoma,0.07096799422817032
Viral myocarditis,0.04064021777951694
Werner Syndrome,0.06811572989318933
Keratitis,0.05078337611523672
Cavernous Hemangioma of Brain,0.07535906391776137
Osteitis Deformans,0.040853395371863374
Cholesteatoma,0.05225634477539601
Neurofibromatosis 2,0.05451083719392544
Cutaneous Mastocytosis,0.04001152616621096
"Hepatitis, Alcoholic",0.038562613617124236
Cystitis,0.02991380958160935
"Bulbo-Spinal Atrophy, X-Linked",0.04716035418588968
Acoustic Neuroma,0.09434566566530574
Leigh Disease,0.16522029277055325
Parathyroid Adenoma,0.04494085658759214
hiv-infection/aids,0.04279942016583104
Marfan Syndrome,0.08430913532822687
Thromboangiitis Obliterans,0.03280678665285743
M5b Acute differentiated monocytic leukemia,0.04887112790233988
Malignant Testicular Germ Cell Tumor,0.10086159443824044
Benign melanocytic nevus,0.04245903936637403
Granulomatosis with polyangiitis,0.027281499527184158
Rabies (disorder),0.04521765389832386
Abnormality of the skeletal system,0.04979724167595721
Carotid Stenosis,0.06607512569523684
Protein Deficiency,0.04996419101906747
neurofibroma,0.06697559086998496
Undifferentiated leukemia,0.046557179280197356
Essential Tremor,0.04714523334257144
FRIEDREICH ATAXIA 1,0.03970675551325601
Bullous pemphigoid,0.08261770737403648
Acute Undifferentiated Leukemia,0.04412560509982008
Childhood T Acute Lymphoblastic Leukemia,0.04991444614634832
Fibrillation,0.044453346079091564
Creutzfeldt-Jakob disease,0.03349053523863474
Cushing Syndrome,0.08441042232915383
High grade serous carcinoma,0.0685106510570383
Right Ventricular Hypertrophy,0.04481846798656453
Japanese Encephalitis,0.056993414098530544
Well Differentiated Pancreatic Endocrine Tumor,0.04936433410684247
Dystrophia myotonica 2,0.05127744253032436
Leukodystrophy,0.088826778923012
Blood spots,0.0439825355825309
Adenomatous Polyps,0.054421107484319046
"Spastic Paraplegia, Hereditary",0.07718660128944556
Asthenozoospermia,0.0362174591798516
Optic Atrophy 1,0.041630252021456836
Desmoplastic,0.039821034631870506
Ewings sarcoma-primitive neuroectodermal tumor (PNET),0.049817563262507344
AICARDI-GOUTIERES SYNDROME,0.05833874850941763
Cleft palate with cleft lip,0.10076232291266587
Atherothrombosis,0.04438042467498959
Marginal Zone B-Cell Lymphoma,0.05940856459066091
Avellino corneal dystrophy,0.06135712139750156
Progeria,0.06588628265603788
Severe Dengue,0.06441987615970816
Bronchioloalveolar Adenocarcinoma,0.03905184109770363
Autoimmune arthritis,0.0391882437393637
West Syndrome,0.04641559201103483
"Hyperparathyroidism, Primary",0.038989464792966236
Van der Woude syndrome,0.04272303961137657
GRN-related frontotemporal dementia,0.04327903140625037
Giant Cell Tumor of Bone,0.050212752684509636
Embryonal Rhabdomyosarcoma,0.05527618285461843
Alveolar rhabdomyosarcoma,0.0796730298476597
Oropharyngeal Carcinoma,0.0524795600213907
"Amyotrophic Lateral Sclerosis, Sporadic",0.041209706074328716
High-Grade Prostatic Intraepithelial Neoplasia,0.055226565106691695
"Adenocarcinoma, Clear Cell",0.04033170522017813
Pituitary-dependent Cushing's disease,0.04777194141121113
Pemphigus Vulgaris,0.061118154265488285
Severe Acute Respiratory Syndrome,0.036833007376295336
Cancer cachexia,0.05841622004166187
"AURAL ATRESIA, CONGENITAL",0.0395933583607931
Measles,0.06959112907039018
Toxoplasmosis,0.0408095659873746
"Cystadenocarcinoma, Serous",0.04589226253650272
Angioimmunoblastic Lymphadenopathy,0.04599137945734169
Malignant neoplasm of colon stage IV,0.10323677770860903
"Lymphohistiocytosis, Hemophagocytic",0.03655308996423315
Alcohol or Other Drugs use,0.03529137316422341
Otitis Media,0.059932038476630235
