Entrez_A	Entrez_B	ID
832	9181	1679
1213	9181	1680
1785	9181	1681
85440	9181	1682
23307	9181	1683
5594	9181	1684
5595	9181	1685
4734	9181	1686
55361	9181	1687
5829	9181	1688
387680	9181	1689
23325	9181	1690
9181	9897	1691
3611	9459	1692
29780	9459	1693
28964	8874	1694
8874	9815	1695
5058	8874	1696
5829	8874	1697
23513	8874	1698
57492	8289	1699
51742	8289	1700
8289	9031	1701
672	8289	1702
29117	8289	1703
10498	8289	1704
10036	8289	1705
1108	8289	1706
1387	8289	1707
5977	8289	1708
2033	8289	1709
57459	8289	1710
3065	8289	1711
3066	8289	1712
3183	8289	1713
3621	8289	1714
8289	8932	1715
53615	8289	1716
4298	8289	1717
8289	9219	1718
55274	8289	1719
10419	8289	1720
5928	8289	1721
5931	8289	1722
10284	8289	1723
8289	8819	1724
57410	8289	1725
25942	8289	1726
6595	8289	1727
6597	8289	1728
6598	8289	1729
6599	8289	1730
6601	8289	1731
6602	8289	1732
6603	8289	1733
6604	8289	1734
6605	8289	1735
11198	8289	1736
7155	8289	1737
