random_means,random_medians,top_k_mean,top_k_median,k,0,1,2-5,6-10,11-20,21+,network,Name,method,weighted_mean,size
0.52,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.39,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.74,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.51,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.59,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.43,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.41,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.8,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.7,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.41,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.45,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.43,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.43,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.39,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.35,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.53,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.79,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.8,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.5,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.98,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.69,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.48,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.36,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.37,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.7,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.5,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.24,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.49,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.45,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.34,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.52,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.43,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.35,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.43,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.67,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.57,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.63,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.62,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.77,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.58,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.4,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.36,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.63,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.55,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.45,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.53,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
