	GeneA	GeneB
1457	6171	6224
1458	6171	6233
1459	6171	10399
1460	6171	6194
1461	6171	6208
1462	6171	6210
1463	6171	6229
1464	6171	6230
1465	2197	6171
1466	6137	6171
1467	6138	6171
1468	6171	23521
1469	6141	6171
1470	6144	6171
1471	6146	6171
1472	6152	6171
1473	6147	6171
1474	6154	6171
1475	6155	6171
1476	6156	6171
1477	6161	6171
1478	6165	6171
1479	6171	11224
1480	6167	6171
1481	6169	6171
1482	6171	7311
1483	6168	6171
1484	6158	6171
1485	3921	6171
1486	6122	6171
1487	6171	6189
1488	6171	6188
1489	6171	6193
1490	6171	6202
1491	6171	6204
1492	6171	6217
1493	6171	6223
1494	6171	6227
1495	6171	6228
1496	6171	6231
1497	6171	6234
1498	6171	6235
1499	6125	6171
1500	6171	6187
1501	6171	6203
1502	6171	6207
1503	6171	6232
1504	6129	6171
1505	4736	6173
1506	6173	6191
1507	6173	6201
1508	6173	6205
1509	6173	6209
1510	6173	6218
1511	6173	6222
1512	6173	6224
1513	6173	6233
1514	6173	10399
1515	6173	6194
1516	6173	6208
1517	6173	6210
1518	6173	6229
1519	6173	6230
1520	2197	6173
1521	6137	6173
1522	6138	6173
1523	6173	23521
1524	6141	6173
1525	6144	6173
1526	6146	6173
1527	6152	6173
1528	6147	6173
1529	6154	6173
1530	6155	6173
1531	6156	6173
1532	6161	6173
1533	6165	6173
1534	6173	11224
1535	6167	6173
1536	6169	6173
1537	6173	7311
1538	6168	6173
1539	6158	6173
1540	3921	6173
1541	6122	6173
1542	6173	6189
1543	6173	6188
1544	6173	6193
1545	6173	6202
1546	6173	6204
1547	6173	6217
1548	6173	6223
1549	6173	6227
1550	6173	6228
1551	6173	6231
1552	6173	6234
1553	6173	6235
1554	6125	6173
1555	6173	6187
1556	6173	6203
1557	6173	6207
1558	6173	6232
1559	6129	6173
1560	4736	6191
1561	4736	6201
1562	4736	6205
1563	4736	6209
1564	4736	6218
1565	4736	6222
1566	4736	6224
1567	4736	6233
1568	4736	10399
1569	4736	6194
1570	4736	6208
1571	4736	6210
1572	4736	6229
1573	4736	6230
1574	2197	4736
1575	4736	6137
1576	4736	6138
1577	4736	23521
1578	4736	6141
1579	4736	6144
1580	4736	6146
1581	4736	6152
1582	4736	6147
1583	4736	6154
1584	4736	6155
1585	4736	6156
1586	4736	6161
1587	4736	6165
1588	4736	11224
1589	4736	6167
1590	4736	6169
1591	4736	7311
1592	4736	6168
1593	4736	6158
1594	3921	4736
1595	4736	6122
1596	4736	6189
1597	4736	6188
1598	4736	6193
1599	4736	6202
1600	4736	6204
1601	4736	6217
1602	4736	6223
1603	4736	6227
1604	4736	6228
1605	4736	6231
1606	4736	6234
1607	4736	6235
1608	4736	6125
1609	4736	6187
1610	4736	6203
1611	4736	6207
1612	4736	6232
1613	4736	6129
1614	6191	6201
1615	6191	6205
1616	6191	6209
1617	6191	6218
1618	6191	6222
1619	6191	6224
1620	6191	6233
1621	6191	10399
1622	6191	6194
1623	6191	6208
1624	6191	6210
1625	6191	6229
1626	6191	6230
1627	2197	6191
1628	6137	6191
1629	6138	6191
1630	6191	23521
1631	6141	6191
1632	6144	6191
1633	6146	6191
1634	6152	6191
1635	6147	6191
1636	6154	6191
1637	6155	6191
1638	6156	6191
1639	6161	6191
1640	6165	6191
1641	6191	11224
1642	6167	6191
1643	6169	6191
1644	6191	7311
1645	6168	6191
1646	6158	6191
1647	3921	6191
1648	6122	6191
1649	6189	6191
1650	6188	6191
1651	6191	6193
1652	6191	6202
1653	6191	6204
1654	6191	6217
1655	6191	6223
1656	6191	6227
1657	6191	6228
1658	6191	6231
1659	6191	6234
1660	6191	6235
1661	6125	6191
1662	6187	6191
