	M	N	n	x	P-value	stat	Network	direction	Name
Minor Salivary Gland	19056	233	16768	206	0.919371913073074	1.0415766569612723	intact.245	1	Minor Salivary Gland
Muscle - Skeletal	19056	335	16768	302	0.2358978897837765	1.2532896068666748	intact.245	1	Muscle - Skeletal
Nerve - Tibial	19056	284	16768	251	0.926724639211824	1.0384250570119675	intact.245	1	Nerve - Tibial
Ovary	19056	190	16768	167	0.9109637061527902	0.9906553560157456	intact.245	-1	Ovary
Pancreas	19056	156	16768	129	0.0472503710122353	0.649231056887767	intact.245	-1	Pancreas
Pituitary	19056	384	16768	314	0.0003345089717607	0.6046745038114918	intact.245	-1	Pituitary
Prostate	19056	127	16768	104	0.0395266822154509	0.6146026842555679	intact.245	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	16768	462	1.0	1.0006541559344209	intact.245	1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	16768	476	0.8930162895011156	1.0318629456856807	intact.245	1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	16768	282	0.0502766217513209	0.7355331796675968	intact.245	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	16768	591	0.2730739089812848	1.157585284221867	intact.245	1	Spleen
Stomach	19056	147	16768	127	0.5244463853022476	0.865440778799351	intact.245	-1	Stomach
Testis	19056	2478	16768	1942	1.062641594626566e-48	0.4281486134684731	intact.245	-1	Testis
Thyroid	19056	289	16768	237	0.0025485176135898	0.6164781319944347	intact.245	-1	Thyroid
Uterus	19056	104	16768	93	0.7629671705484504	1.1544827586206896	intact.245	1	Uterus
Vagina	19056	269	16768	232	0.3944357193144858	0.8535545705357026	intact.245	-1	Vagina
Whole Blood	19056	565	16768	513	0.0355743264968138	1.3570593663488155	intact.245	1	Whole Blood
Adipose - Subcutaneous	19056	141	17193	132	0.2005554811370155	1.5938104448742747	irefindex.v20	1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	17193	117	0.0674123480893893	2.120607870695713	irefindex.v20	1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	17193	146	0.295464941244361	0.7892239103654602	irefindex.v20	-1	Adrenal Gland
Artery - Aorta	19056	261	17193	237	0.8339593127106836	1.0710146850672329	irefindex.v20	1	Artery - Aorta
Artery - Coronary	19056	124	17193	113	0.8793639282239496	1.1138812007664467	irefindex.v20	1	Artery - Coronary
Artery - Tibial	19056	222	17193	207	0.1395868051936125	1.501377605086542	irefindex.v20	1	Artery - Tibial
Bladder	19056	46	17193	45	0.1279804705067103	4.88628411476557	irefindex.v20	1	Bladder
Brain - Amygdala	19056	66	17193	57	0.2954059798817892	0.6852240896358543	irefindex.v20	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	17193	214	0.2638205840942975	1.368624910356392	irefindex.v20	1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	17193	163	0.4531653710134435	0.8395436624444258	irefindex.v20	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	17193	857	0.5360391874973645	1.0839869997494476	irefindex.v20	1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	17193	809	0.8630236292446213	0.9842200118504212	irefindex.v20	-1	Brain - Cerebellum
Brain - Cortex	19056	447	17193	413	0.1257161255211675	1.324014933744654	irefindex.v20	1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	17193	553	0.0245015046449235	1.4408954326923078	irefindex.v20	1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	17193	44	0.0985734973764077	0.5285439384220654	irefindex.v20	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	17193	165	0.9009699421098808	0.993217054263566	irefindex.v20	-1	Brain - Hypothalamus
