Interactome	Fold	Prediction Method	Test Set	P@k
Wan	4	MPS	Held-out	0.2200
Wan	5	MPS	Held-out	0.2146
Wan	6	MPS	Held-out	0.2266
Wan	7	MPS	Held-out	0.2285
Wan	8	MPS	Held-out	0.2174
Wan	9	MPS	Held-out	0.2164
Wan	10	MPS	Held-out	0.2447
APID	1	MPS	PANTHER	0.0018
APID	2	MPS	PANTHER	0.0015
APID	3	MPS	PANTHER	0.0015
APID	4	MPS	PANTHER	0.0015
APID	5	MPS	PANTHER	0.0014
APID	6	MPS	PANTHER	0.0016
APID	7	MPS	PANTHER	0.0021
APID	8	MPS	PANTHER	0.0018
APID	9	MPS	PANTHER	0.0014
APID	10	MPS	PANTHER	0.0019
BIND	1	MPS	PANTHER	0.0025
BIND	2	MPS	PANTHER	0.0023
BIND	3	MPS	PANTHER	0.0016
BIND	4	MPS	PANTHER	0.0014
BIND	5	MPS	PANTHER	0.0023
BIND	6	MPS	PANTHER	0.0012
BIND	7	MPS	PANTHER	0.0014
BIND	8	MPS	PANTHER	0.0024
BIND	9	MPS	PANTHER	0.0021
BIND	10	MPS	PANTHER	0.0012
BioGRID	1	MPS	PANTHER	0.0007
BioGRID	2	MPS	PANTHER	0.0006
BioGRID	3	MPS	PANTHER	0.0005
BioGRID	4	MPS	PANTHER	0.0003
BioGRID	5	MPS	PANTHER	0.0006
BioGRID	6	MPS	PANTHER	0.0006
BioGRID	7	MPS	PANTHER	0.0006
BioGRID	8	MPS	PANTHER	0.0006
BioGRID	9	MPS	PANTHER	0.0005
BioGRID	10	MPS	PANTHER	0.0006
BioPlex 293T	1	MPS	PANTHER	0.0023
BioPlex 293T	2	MPS	PANTHER	0.0021
BioPlex 293T	3	MPS	PANTHER	0.0023
BioPlex 293T	4	MPS	PANTHER	0.0017
BioPlex 293T	5	MPS	PANTHER	0.0023
BioPlex 293T	6	MPS	PANTHER	0.0020
BioPlex 293T	7	MPS	PANTHER	0.0021
BioPlex 293T	8	MPS	PANTHER	0.0019
BioPlex 293T	9	MPS	PANTHER	0.0027
BioPlex 293T	10	MPS	PANTHER	0.0016
BioPlex HCT116	1	MPS	PANTHER	0.0007
BioPlex HCT116	2	MPS	PANTHER	0.0006
BioPlex HCT116	3	MPS	PANTHER	0.0006
BioPlex HCT116	4	MPS	PANTHER	0.0011
BioPlex HCT116	5	MPS	PANTHER	0.0015
BioPlex HCT116	6	MPS	PANTHER	0.0010
BioPlex HCT116	7	MPS	PANTHER	0.0008
BioPlex HCT116	8	MPS	PANTHER	0.0004
BioPlex HCT116	9	MPS	PANTHER	0.0005
BioPlex HCT116	10	MPS	PANTHER	0.0009
ComPPI	1	MPS	PANTHER	0.0024
ComPPI	2	MPS	PANTHER	0.0015
ComPPI	3	MPS	PANTHER	0.0016
ComPPI	4	MPS	PANTHER	0.0016
ComPPI	5	MPS	PANTHER	0.0019
ComPPI	6	MPS	PANTHER	0.0013
ComPPI	7	MPS	PANTHER	0.0018
