Interactome	Fold	Prediction Method	Test Set	P@k
BioPlex HCT116	4	MPS	Held-out	0.1716
BioPlex HCT116	5	MPS	Held-out	0.1790
BioPlex HCT116	6	MPS	Held-out	0.1708
BioPlex HCT116	7	MPS	Held-out	0.1780
BioPlex HCT116	8	MPS	Held-out	0.1776
BioPlex HCT116	9	MPS	Held-out	0.1734
BioPlex HCT116	10	MPS	Held-out	0.1746
ComPPI	1	MPS	Held-out	0.1160
ComPPI	2	MPS	Held-out	0.1240
ComPPI	3	MPS	Held-out	0.1194
ComPPI	4	MPS	Held-out	0.1214
ComPPI	5	MPS	Held-out	0.1212
ComPPI	6	MPS	Held-out	0.1206
ComPPI	7	MPS	Held-out	0.1239
ComPPI	8	MPS	Held-out	0.1186
ComPPI	9	MPS	Held-out	0.1173
ComPPI	10	MPS	Held-out	0.1217
DIP	1	MPS	Held-out	0.5925
DIP	2	MPS	Held-out	0.5883
DIP	3	MPS	Held-out	0.5460
DIP	4	MPS	Held-out	0.5771
DIP	5	MPS	Held-out	0.5713
DIP	6	MPS	Held-out	0.5502
DIP	7	MPS	Held-out	0.5864
DIP	8	MPS	Held-out	0.5486
DIP	9	MPS	Held-out	0.5892
DIP	10	MPS	Held-out	0.5779
GeneMANIA	1	MPS	Held-out	0.0840
GeneMANIA	2	MPS	Held-out	0.0838
GeneMANIA	3	MPS	Held-out	0.0810
GeneMANIA	4	MPS	Held-out	0.0830
GeneMANIA	5	MPS	Held-out	0.0820
GeneMANIA	6	MPS	Held-out	0.0824
GeneMANIA	7	MPS	Held-out	0.0812
GeneMANIA	8	MPS	Held-out	0.0831
GeneMANIA	9	MPS	Held-out	0.0826
GeneMANIA	10	MPS	Held-out	0.0827
Havugimana	1	MPS	Held-out	0.2396
Havugimana	2	MPS	Held-out	0.2410
Havugimana	3	MPS	Held-out	0.2330
Havugimana	4	MPS	Held-out	0.2106
Havugimana	5	MPS	Held-out	0.2209
Havugimana	6	MPS	Held-out	0.2136
Havugimana	7	MPS	Held-out	0.2282
Havugimana	8	MPS	Held-out	0.2133
Havugimana	9	MPS	Held-out	0.2277
Havugimana	10	MPS	Held-out	0.2400
Hein	1	MPS	Held-out	0.1680
Hein	2	MPS	Held-out	0.1867
Hein	3	MPS	Held-out	0.1688
Hein	4	MPS	Held-out	0.1779
Hein	5	MPS	Held-out	0.1869
Hein	6	MPS	Held-out	0.1805
Hein	7	MPS	Held-out	0.1794
Hein	8	MPS	Held-out	0.2040
Hein	9	MPS	Held-out	0.1783
Hein	10	MPS	Held-out	0.1889
HuRI	1	MPS	Held-out	0.0840
HuRI	2	MPS	Held-out	0.0791
HuRI	3	MPS	Held-out	0.0834
HuRI	4	MPS	Held-out	0.0849
HuRI	5	MPS	Held-out	0.0860
HuRI	6	MPS	Held-out	0.0887
HuRI	7	MPS	Held-out	0.0827
HuRI	8	MPS	Held-out	0.0848
HuRI	9	MPS	Held-out	0.0905
HuRI	10	MPS	Held-out	0.0811
HINT	1	MPS	Held-out	0.1153
HINT	2	MPS	Held-out	0.1154
HINT	3	MPS	Held-out	0.1159
HINT	4	MPS	Held-out	0.1158
HINT	5	MPS	Held-out	0.1125
HINT	6	MPS	Held-out	0.1140
HINT	7	MPS	Held-out	0.1178
HINT	8	MPS	Held-out	0.1135
HINT	9	MPS	Held-out	0.1129
HINT	10	MPS	Held-out	0.1149
HIPPIE	1	MPS	Held-out	0.1742
HIPPIE	2	MPS	Held-out	0.1751
HIPPIE	3	MPS	Held-out	0.1724
HIPPIE	4	MPS	Held-out	0.1734
HIPPIE	5	MPS	Held-out	0.1764
HIPPIE	6	MPS	Held-out	0.1718
HIPPIE	7	MPS	Held-out	0.1734
HIPPIE	8	MPS	Held-out	0.1733
HIPPIE	9	MPS	Held-out	0.1758
HIPPIE	10	MPS	Held-out	0.1747
HPRD	1	MPS	Held-out	0.0693
HPRD	2	MPS	Held-out	0.0684
HPRD	3	MPS	Held-out	0.0721
HPRD	4	MPS	Held-out	0.0677
HPRD	5	MPS	Held-out	0.0726
HPRD	6	MPS	Held-out	0.0730
HPRD	7	MPS	Held-out	0.0689
HPRD	8	MPS	Held-out	0.0706
HPRD	9	MPS	Held-out	0.0687
HPRD	10	MPS	Held-out	0.0669
HumanNet-XC	1	MPS	Held-out	0.2139
HumanNet-XC	2	MPS	Held-out	0.2165
HumanNet-XC	3	MPS	Held-out	0.2143
HumanNet-XC	4	MPS	Held-out	0.2155
HumanNet-XC	5	MPS	Held-out	0.2140
HumanNet-XC	6	MPS	Held-out	0.2179
HumanNet-XC	7	MPS	Held-out	0.2167
HumanNet-XC	8	MPS	Held-out	0.2157
HumanNet-XC	9	MPS	Held-out	0.2160
HumanNet-XC	10	MPS	Held-out	0.2134
HumanNet-FN	1	MPS	Held-out	0.2183
HumanNet-FN	2	MPS	Held-out	0.2160
HumanNet-FN	3	MPS	Held-out	0.2170
HumanNet-FN	4	MPS	Held-out	0.2186
HumanNet-FN	5	MPS	Held-out	0.2167
HumanNet-FN	6	MPS	Held-out	0.2165
HumanNet-FN	7	MPS	Held-out	0.2161
HumanNet-FN	8	MPS	Held-out	0.2157
