	M	N	n	x	P-value	stat	Network
pancreas	11042	198	10382	186	0.8800960968419268	0.9850921930168693	mentha.23.11.6
parathyroid gland	11042	204	10382	189	0.371365129204031	0.7973118807024429	mentha.23.11.6
placenta	11042	412	10382	389	0.8321762006642083	1.0781155504505329	mentha.23.11.6
prostate	11042	246	10382	233	0.7851320458456021	1.142598361339124	mentha.23.11.6
rectum	11042	489	10382	447	0.01859334700849503	0.6620317779854771	mentha.23.11.6
salivary gland	11042	285	10382	271	0.5267020423719713	1.2367435748901479	mentha.23.11.6
seminal vesicle	11042	267	10382	250	0.7931112243533833	0.9332690833933257	mentha.23.11.6
skeletal muscle	11042	403	10382	375	0.39136193752125237	0.8458364858884495	mentha.23.11.6
skin 1	11042	120	10382	112	0.6974881032987377	0.8888023369036028	mentha.23.11.6
skin 2	11042	281	10382	268	0.44264257545735763	1.318781278045664	mentha.23.11.6
small intestine	11042	693	10382	630	0.0008661943213236452	0.6121821164889254	mentha.23.11.6
smooth muscle	11042	286	10382	271	0.7044896245677854	1.152507170408466	mentha.23.11.6
soft tissue 1	11042	93	10382	86	0.5059620207423079	0.7791930291930292	mentha.23.11.6
soft tissue 2	11042	112	10382	105	0.8406444913852964	0.9530991534494502	mentha.23.11.6
spleen	11042	400	10382	377	1.0	1.0436042848141147	mentha.23.11.6
stomach 1	11042	632	10382	582	0.03803258484406744	0.724530612244898	mentha.23.11.6
stomach 2	11042	605	10382	555	0.02131070225349674	0.6890200468098097	mentha.23.11.6
testis	11042	867	10382	707	2.376517365483285e-41	0.228359173126615	mentha.23.11.6
thyroid gland	11042	282	10382	263	0.5263523201695443	0.8768444978440766	mentha.23.11.6
tonsil	11042	435	10382	412	0.6061832835732097	1.1444943526230866	mentha.23.11.6
urinary bladder	11042	337	10382	316	0.8152337205724975	0.9552382844653856	mentha.23.11.6
vagina	11042	234	10382	224	0.32846216788628035	1.433353022248474	mentha.23.11.6
adrenal gland	11042	571	6521	273	3.235729233138845e-08	0.6191935781866305	mint
appendix	11042	348	6521	175	0.0008679125255654794	0.6930768824383481	mint
bone marrow	11042	646	6521	345	0.0029668334628407894	0.7831731017506413	mint
breast	11042	77	6521	39	0.1623924125228381	0.7098077266600626	mint
bronchus	11042	478	6521	208	2.744957953878796e-12	0.5187461499199183	mint
caudate	11042	504	6521	252	2.8853476681165216e-05	0.680969851650981	mint
cerebellum	11042	297	6521	170	0.5498183623416286	0.9261112082293445	mint
cerebral cortex	11042	497	6521	254	0.000265878792909316	0.7135239063327995	mint
cervix	11042	160	6521	72	0.0003421778296256571	0.5624127771747558	mint
colon	11042	271	6521	127	4.492318664870461e-05	0.6037333176936711	mint
duodenum	11042	679	6521	306	3.5831727610728983e-14	0.5475328865777038	mint
endometrium 1	11042	195	6521	78	8.64037981524575e-08	0.4556883439391588	mint
endometrium 2	11042	148	6521	53	1.0458219054798757e-08	0.38176284868014193	mint
epididymis	11042	470	6521	209	9.937194057400275e-11	0.5404411229112946	mint
esophagus	11042	294	6521	166	0.367603074662486	0.896486526357199	mint
fallopian tube	11042	408	6521	161	5.42303151413848e-16	0.43803249051511217	mint
gallbladder	11042	566	6521	268	1.0076006035808314e-08	0.6073669873360116	mint
heart muscle	11042	428	6521	221	0.001574430691919947	0.7310743041177824	mint
hippocampus	11042	460	6521	248	0.02283862383043856	0.8035576249214212	mint
kidney	11042	424	6521	167	9.863982563719631e-17	0.4360671117430853	mint
liver	11042	222	6521	80	3.748300034110654e-12	0.3830216198604451	mint
lung	11042	267	6521	130	0.0006428163116066208	0.6509153497105304	mint
lymph node	11042	456	6521	260	0.3814251278418084	0.9163464139848561	mint
nasopharynx	11042	363	6521	157	8.905593666030883e-10	0.5167530648734081	mint
oral mucosa	11042	238	6521	131	0.2060509838299459	0.8457051760197739	mint
ovary	11042	134	6521	69	0.0773439046909846	0.7331393962516095	mint
pancreas	11042	198	6521	97	0.004357355004333538	0.6607955316079553	mint
parathyroid gland	11042	204	6521	86	1.1803235966273628e-06	0.4986738308772207	mint
placenta	11042	412	6521	238	0.6097189177851853	0.9463467375018523	mint
prostate	11042	246	6521	131	0.06628486230853589	0.7854473702116078	mint
rectum	11042	489	6521	230	4.335070274980001e-08	0.6016193999026617	mint
salivary gland	11042	285	6521	118	1.527312016732536e-09	0.4804746278176117	mint
seminal vesicle	11042	267	6521	134	0.0030529264690129683	0.6921860781592308	mint
skeletal muscle	11042	403	6521	194	6.765654914746914e-06	0.6326104497849651	mint
skin 1	11042	120	6521	63	0.16127570450902887	0.763997326856938	mint
skin 2	11042	281	6521	149	0.04240714345506741	0.7775031387319523	mint
small intestine	11042	693	6521	303	6.138334901320035e-17	0.5161578048840835	mint
smooth muscle	11042	286	6521	153	0.05878620505165775	0.7926899535270336	mint
soft tissue 1	11042	93	6521	53	0.6737610513121383	0.9179537724180581	mint
soft tissue 2	11042	112	6521	63	0.5630126238524283	0.8903242932354112	mint
spleen	11042	400	6521	204	0.000910964589300313	0.7126057641673101	mint
stomach 1	11042	632	6521	279	8.485389999332432e-15	0.5277563212923874	mint
stomach 2	11042	605	6521	272	8.87081317724725e-13	0.5474201998445878	mint
testis	11042	867	6521	306	1.1003500584736751e-48	0.3475462590506838	mint
thyroid gland	11042	282	6521	134	8.170409654389876e-05	0.6199057206572473	mint
tonsil	11042	435	6521	225	0.0017036889916059346	0.7336290615356689	mint
urinary bladder	11042	337	6521	191	0.36861415018499816	0.9041799216602826	mint
vagina	11042	234	6521	136	0.7882724584624508	0.9613219759321113	mint
adrenal gland	11042	571	8730	416	0.00026292316440795684	0.6963085972359099	multinet
appendix	11042	348	8730	274	0.8934850924389406	0.9799726405686671	multinet
bone marrow	11042	646	8730	509	0.8811561705035149	0.9829509081691271	multinet
breast	11042	77	8730	57	0.26339296511056065	0.7531649948114839	multinet
bronchus	11042	478	8730	311	5.394255953399973e-13	0.4744721271318866	multinet
caudate	11042	504	8730	368	0.0009226484968901693	0.7041377660846687	multinet
cerebellum	11042	297	8730	222	0.07045632085525805	0.7782698636577339	multinet
cerebral cortex	11042	497	8730	369	0.007987325078820573	0.7530274488697524	multinet
cervix	11042	160	8730	97	1.1671662259048057e-07	0.4011057606563225	multinet
colon	11042	271	8730	196	0.007968676652652613	0.6850277322084212	multinet
duodenum	11042	679	8730	486	1.7059182939560455e-06	0.6472498133357467	multinet
endometrium 1	11042	195	8730	117	1.1553760528790643e-09	0.389063044235458	multinet
endometrium 2	11042	148	8730	85	2.401766159722017e-09	0.35099653896646377	multinet
epididymis	11042	470	8730	321	2.197592581828871e-08	0.5541545850921951	multinet
esophagus	11042	294	8730	217	0.029060775575041862	0.7398844547910682	multinet
fallopian tube	11042	408	8730	245	6.67525671858075e-19	0.3806826192739985	multinet
gallbladder	11042	566	8730	425	0.01952173379621447	0.7879342957545015	multinet
heart muscle	11042	428	8730	299	4.9334202517466205e-06	0.6001449063487554	multinet
hippocampus	11042	460	8730	346	0.04052432483080409	0.795696899691978	multinet
kidney	11042	424	8730	309	0.0018781175283206115	0.7010145443843807	multinet
liver	11042	222	8730	174	0.8026627160364843	0.9592099111734456	multinet
lung	11042	267	8730	196	0.026910075350919882	0.7249147568796892	multinet
