	M	N	n	x	P-value	stat	Network
stomach 1	11042	632	5787	219	2.5823731639053876e-20	0.4611260123570176	proper_all
stomach 2	11042	605	5787	202	4.579708480967134e-22	0.43545565821246646	proper_all
testis	11042	867	5787	177	5.11605338175229e-90	0.2087382779198636	proper_all
thyroid gland	11042	282	5787	107	8.679764722971291e-07	0.5468410462776659	proper_all
tonsil	11042	435	5787	156	1.6550288135632379e-12	0.4941004386241295	proper_all
urinary bladder	11042	337	5787	124	6.44942102716543e-09	0.5183204708266078	proper_all
vagina	11042	234	5787	65	1.4429207136320414e-14	0.34186540478046945	proper_all
adrenal gland	11042	571	857	18	3.8748913098192465e-06	0.3736817489174877	proteomehd
appendix	11042	348	857	11	0.0004794362943732079	0.37996225912129694	proteomehd
bone marrow	11042	646	857	32	0.004917173820527244	0.6046234330273418	proteomehd
breast	11042	77	857	1	0.029631845841824354	0.15538920314805707	proteomehd
bronchus	11042	478	857	11	2.7872050274747176e-07	0.2705716787907321	proteomehd
caudate	11042	504	857	9	3.5928822015283307e-09	0.2077615780445969	proteomehd
cerebellum	11042	297	857	6	2.3163153292749047e-05	0.23971797884841364	proteomehd
cerebral cortex	11042	497	857	5	3.68670045514455e-12	0.11561748540020611	proteomehd
cervix	11042	160	857	2	0.00047755097286713026	0.14844918202679694	proteomehd
colon	11042	271	857	7	0.0004817517948099175	0.3094786096256684	proteomehd
duodenum	11042	679	857	18	8.420121936691336e-09	0.3091209728460688	proteomehd
endometrium 1	11042	195	857	2	3.523944477397089e-05	0.12110414204769264	proteomehd
endometrium 2	11042	148	857	1	0.00014489309983203413	0.07977303070761015	proteomehd
epididymis	11042	470	857	15	4.317597851956735e-05	0.38096108167367077	proteomehd
esophagus	11042	294	857	6	3.30805395375394e-05	0.2422884841363102	proteomehd
fallopian tube	11042	408	857	8	3.8282073464543995e-07	0.23050647820965842	proteomehd
gallbladder	11042	566	857	22	0.00018822363693562664	0.4669381824586122	proteomehd
heart muscle	11042	428	857	12	1.830006949764948e-05	0.33348884842967685	proteomehd
hippocampus	11042	460	857	10	2.582194693357918e-07	0.2554112554112554	proteomehd
kidney	11042	424	857	7	2.7084463532641235e-08	0.19290732120186205	proteomehd
liver	11042	222	857	4	0.00018639111934174688	0.21439710896243158	proteomehd
lung	11042	267	857	7	0.0006716865603959136	0.31436651583710407	proteomehd
lymph node	11042	456	857	22	0.015449938073873102	0.5919644581804133	proteomehd
nasopharynx	11042	363	857	8	5.594503492978607e-06	0.26092005507722427	proteomehd
oral mucosa	11042	238	857	4	6.606909529714353e-05	0.19941683951062614	proteomehd
ovary	11042	134	857	7	0.33027808414907384	0.6522093561834182	proteomehd
pancreas	11042	198	857	2	3.746318637144232e-05	0.11921470342522975	proteomehd
parathyroid gland	11042	204	857	6	0.007539211724543079	0.35562439910265997	proteomehd
placenta	11042	412	857	15	0.0006826883834569995	0.4392205196934251	proteomehd
prostate	11042	246	857	12	0.0915892446982518	0.6039144287664998	proteomehd
rectum	11042	489	857	20	0.001289149817405261	0.4950159596283814	proteomehd
salivary gland	11042	285	857	7	0.00018363180601570653	0.2934786288616166	proteomehd
seminal vesicle	11042	267	857	11	0.020379712825790677	0.504298721926714	proteomehd
skeletal muscle	11042	403	857	10	6.6080043756847495e-06	0.2941680110313004	proteomehd
skin 1	11042	120	857	1	0.0015285880989287294	0.09881803188565146	proteomehd
skin 2	11042	281	857	8	0.0009223567950405324	0.3421219534293739	proteomehd
small intestine	11042	693	857	18	4.455227066353989e-09	0.30226460071513706	proteomehd
smooth muscle	11042	286	857	12	0.01853164768973552	0.5136785729711053	proteomehd
soft tissue 1	11042	93	857	2	0.04791500183654447	0.25946918578497524	proteomehd
soft tissue 2	11042	112	857	3	0.04799196317578859	0.32473196828739015	proteomehd
spleen	11042	400	857	10	9.233521925458257e-06	0.2965216601580238	proteomehd
stomach 1	11042	632	857	22	7.660067676775243e-06	0.4135663100029449	proteomehd
stomach 2	11042	605	857	16	7.451340452885853e-08	0.3099552033011069	proteomehd
testis	11042	867	857	16	3.518652520734421e-15	0.2086710605554632	proteomehd
thyroid gland	11042	282	857	8	0.000657818404677727	0.3408389431963753	proteomehd
tonsil	11042	435	857	14	0.000106156784096159	0.38516439703242855	proteomehd
urinary bladder	11042	337	857	14	0.00945282141100615	0.5070641854793987	proteomehd
vagina	11042	234	857	4	9.609060461253507e-05	0.20296651205464092	proteomehd
adrenal gland	11042	571	3995	179	0.013875188956412566	0.7963549020237025	ptmcode2
appendix	11042	348	3995	141	0.08922225931537205	1.2089077412513256	ptmcode2
bone marrow	11042	646	3995	299	6.025548632855795e-08	1.5620126751250671	ptmcode2
breast	11042	77	3995	30	0.6347621888469036	1.1268814896300072	ptmcode2
bronchus	11042	478	3995	121	2.872790954999996e-07	0.5853069157451313	ptmcode2
caudate	11042	504	3995	173	0.3932289785178673	0.9184131937692577	ptmcode2
cerebellum	11042	297	3995	111	0.6686231508059226	1.0541883990565097	ptmcode2
cerebral cortex	11042	497	3995	186	0.5666434432161176	1.0576541091120286	ptmcode2
cervix	11042	160	3995	44	0.024921556181896176	0.6654011642622121	ptmcode2
colon	11042	271	3995	89	0.2765322050715094	0.8594624781260726	ptmcode2
duodenum	11042	679	3995	208	0.001970618537902437	0.7668473608170089	ptmcode2
endometrium 1	11042	195	3995	38	3.6914146596752275e-07	0.4214413222395529	ptmcode2
endometrium 2	11042	148	3995	33	0.00028302219962735134	0.5020652722603867	ptmcode2
epididymis	11042	470	3995	117	1.0397465410348651e-07	0.572122542065578	ptmcode2
esophagus	11042	294	3995	110	0.6669677813847121	1.0560824799955235	ptmcode2
fallopian tube	11042	408	3995	88	1.068871359424645e-10	0.4734898899411313	ptmcode2
gallbladder	11042	566	3995	181	0.034741465282351364	0.8211864695346605	ptmcode2
heart muscle	11042	428	3995	144	0.28142851480788705	0.8904509894997092	ptmcode2
hippocampus	11042	460	3995	166	1.0	0.995800043705129	ptmcode2
kidney	11042	424	3995	133	0.039141093193535925	0.7995323185999456	ptmcode2
liver	11042	222	3995	63	0.01624683028496689	0.6941016142344383	ptmcode2
lung	11042	267	3995	117	0.009822760494736639	1.3872253739040743	ptmcode2
lymph node	11042	456	3995	220	8.701618168359767e-08	1.6819171624200246	ptmcode2
nasopharynx	11042	363	3995	89	1.6018048448487031e-06	0.5632332440079085	ptmcode2
oral mucosa	11042	238	3995	91	0.4963368077830373	1.094115925058548	ptmcode2
ovary	11042	134	3995	49	0.9281081179452514	1.0170776065114338	ptmcode2
pancreas	11042	198	3995	72	1.0	1.0081206074068678	ptmcode2
parathyroid gland	11042	204	3995	57	0.015019504682354284	0.6794083809247417	ptmcode2
placenta	11042	412	3995	172	0.018619157795770468	1.2760528380852734	ptmcode2
prostate	11042	246	3995	78	0.15865911482985323	0.8153743754330939	ptmcode2
rectum	11042	489	3995	144	0.001469656929761569	0.7263974348842198	ptmcode2
salivary gland	11042	285	3995	79	0.0026595205533170357	0.6699413409760306	ptmcode2
seminal vesicle	11042	267	3995	80	0.033339690769072824	0.7496192486050498	ptmcode2
skeletal muscle	11042	403	3995	145	0.9579169748655566	0.9910450015101178	ptmcode2
skin 1	11042	120	3995	39	0.4451621523914021	0.8478260869565217	ptmcode2
skin 2	11042	281	3995	102	1.0	1.0052938449903637	ptmcode2
small intestine	11042	693	3995	208	0.00044122447044432135	0.7431261042252524	ptmcode2
smooth muscle	11042	286	3995	108	0.5751682628180423	1.0722170993487365	ptmcode2
soft tissue 1	11042	93	3995	39	0.2783712203079383	1.2766683518705764	ptmcode2
soft tissue 2	11042	112	3995	52	0.02920873362428468	1.5357342125285316	ptmcode2
spleen	11042	400	3995	187	1.0275133162328883e-05	1.5755784708249496	ptmcode2
stomach 1	11042	632	3995	188	0.00046897730578788425	0.7344010677344011	ptmcode2
stomach 2	11042	605	3995	182	0.0012688636470653382	0.74745411832979	ptmcode2
testis	11042	867	3995	198	1.6221706810215354e-18	0.4971449019818573	ptmcode2
thyroid gland	11042	282	3995	88	0.07912422603141994	0.7956430303526053	ptmcode2
tonsil	11042	435	3995	201	1.4141917737043643e-05	1.5424861116743036	ptmcode2
urinary bladder	11042	337	3995	133	0.20564014747200193	1.155196179973802	ptmcode2
vagina	11042	234	3995	79	0.45033448583027336	0.8970114336551451	ptmcode2
adrenal gland	11042	571	3256	150	0.08970218268020834	0.844851662478415	reactome.v86
appendix	11042	348	3256	140	1.5537733641750598e-05	1.636898884171028	reactome.v86
bone marrow	11042	646	3256	263	3.9233916289331596e-10	1.6984704955601364	reactome.v86
breast	11042	77	3256	36	0.0015216290738574278	2.1119527344341766	reactome.v86
bronchus	11042	478	3256	98	6.050580201091992e-06	0.604803173227559	reactome.v86
caudate	11042	504	3256	130	0.06434757764008013	0.8241726283952772	reactome.v86
cerebellum	11042	297	3256	92	0.5620943407255765	1.0752859917979711	reactome.v86
cerebral cortex	11042	497	3256	140	0.5458735794598626	0.9349593495934959	reactome.v86
cervix	11042	160	3256	32	0.00854108632566053	0.5938275434243176	reactome.v86
colon	11042	271	3256	68	0.12064129232925971	0.7967748515059552	reactome.v86
duodenum	11042	679	3256	161	0.0005907406119208072	0.729878181897568	reactome.v86
endometrium 1	11042	195	3256	35	0.000248963130231486	0.5179098106178206	reactome.v86
endometrium 2	11042	148	3256	26	0.0010279964552111377	0.5056691874333857	reactome.v86
epididymis	11042	470	3256	103	0.0001911077645691005	0.6603779454885318	reactome.v86
esophagus	11042	294	3256	96	0.2431728593062696	1.1642500958956654	reactome.v86
fallopian tube	11042	408	3256	78	1.3451535303325105e-06	0.5545397333943589	reactome.v86
gallbladder	11042	566	3256	136	0.0033165584857544794	0.7456887298747764	reactome.v86
heart muscle	11042	428	3256	108	0.05153966889918661	0.8004367852604829	reactome.v86
hippocampus	11042	460	3256	129	0.5308430749097728	0.9291406973856974	reactome.v86
kidney	11042	424	3256	113	0.21154362916800767	0.8641415159293403	reactome.v86
liver	11042	222	3256	56	0.1806062938074326	0.8033132530120481	reactome.v86
lung	11042	267	3256	105	0.0005101182098561785	1.568226430175018	reactome.v86
lymph node	11042	456	3256	214	1.097062220220003e-15	2.1930113398644866	reactome.v86
nasopharynx	11042	363	3256	66	7.5774477543243e-07	0.5216997561825149	reactome.v86
oral mucosa	11042	238	3256	75	0.5177909669411291	1.1026455006046252	reactome.v86
ovary	11042	134	3256	42	0.6343492449625472	1.0928681583290496	reactome.v86
pancreas	11042	198	3256	51	0.271042116911868	0.8269158521442899	reactome.v86
parathyroid gland	11042	204	3256	51	0.16360490205874997	0.793863754550182	reactome.v86
placenta	11042	412	3256	145	0.011228788978473729	1.3125528961507855	reactome.v86
prostate	11042	246	3256	67	0.47956249930957373	0.8928544525437476	reactome.v86
rectum	11042	489	3256	113	0.0013776952154916852	0.7085400857021006	reactome.v86
salivary gland	11042	285	3256	68	0.035184645751416097	0.7439938941537678	reactome.v86
seminal vesicle	11042	267	3256	69	0.19710071264069867	0.8297154158465737	reactome.v86
skeletal muscle	11042	403	3256	110	0.34434737659453774	0.8941740853003651	reactome.v86
skin 1	11042	120	3256	38	0.6150690780527168	1.109430186905971	reactome.v86
skin 2	11042	281	3256	80	0.740655840402429	0.9505369876060503	reactome.v86
small intestine	11042	693	3256	172	0.005142844025886049	0.7776997742045503	reactome.v86
smooth muscle	11042	286	3256	91	0.39314695617683426	1.1192627698788835	reactome.v86
soft tissue 1	11042	93	3256	36	0.05277509834568231	1.5159856162144492	reactome.v86
soft tissue 2	11042	112	3256	40	0.14609592357620882	1.3325732448866778	reactome.v86
spleen	11042	400	3256	173	3.4028651940516023e-09	1.8685772911275562	reactome.v86
stomach 1	11042	632	3256	155	0.004628058909098805	0.7658954945892209	reactome.v86
stomach 2	11042	605	3256	151	0.011651061917102867	0.7853838132328843	reactome.v86
testis	11042	867	3256	148	2.8682717630025993e-18	0.4680442413404861	reactome.v86
thyroid gland	11042	282	3256	77	0.466800526563335	0.8957211579036206	reactome.v86
tonsil	11042	435	3256	195	5.97896820433029e-12	2.0029810519438094	reactome.v86
urinary bladder	11042	337	3256	98	0.9035078142769748	0.9799194978019561	reactome.v86
vagina	11042	234	3256	72	0.6640951436306964	1.0642099385817978	reactome.v86
adrenal gland	11042	571	8361	419	0.19245181666058545	0.877787478959297	reactomeFI.21
appendix	11042	348	8361	301	6.064202755630605e-07	2.0929042817169106	reactomeFI.21
bone marrow	11042	646	8361	550	2.094034809886265e-09	1.8960307045619427	reactomeFI.21
breast	11042	77	8361	65	0.08261771682044795	1.7426571038251366	reactomeFI.21
bronchus	11042	478	8361	325	0.00010272847170824444	0.6682347735842304	reactomeFI.21
caudate	11042	504	8361	367	0.12311731610548363	0.8525079941342868	reactomeFI.21
cerebellum	11042	297	8361	225	1.0	1.002104842674533	reactomeFI.21
cerebral cortex	11042	497	8361	376	0.9573578350078839	0.9962481305340075	reactomeFI.21
cervix	11042	160	8361	111	0.06331261411906818	0.7227012987012987	reactomeFI.21
colon	11042	271	8361	212	0.35163022281410605	1.156144769764825	reactomeFI.21
duodenum	11042	679	8361	497	0.11629808902041876	0.8677762344471398	reactomeFI.21
endometrium 1	11042	195	8361	123	6.78305604672392e-05	0.5410344339240916	reactomeFI.21
endometrium 2	11042	148	8361	98	0.00891237793126466	0.6240784218806729	reactomeFI.21
epididymis	11042	470	8361	322	0.00027845361929343274	0.6855313455014911	reactomeFI.21
esophagus	11042	294	8361	234	0.12915797780091753	1.2577703949796972	reactomeFI.21
fallopian tube	11042	408	8361	256	2.9507797365379097e-09	0.5255235559596091	reactomeFI.21
gallbladder	11042	566	8361	426	0.801372150291677	0.9744045368620038	reactomeFI.21
heart muscle	11042	428	8361	313	0.20602834234557826	0.8677910796093007	reactomeFI.21
hippocampus	11042	460	8361	350	0.9115503749968098	1.0211527331737043	reactomeFI.21
kidney	11042	424	8361	296	0.004610652539509044	0.7320288282703038	reactomeFI.21
liver	11042	222	8361	159	0.1547901200414409	0.8055758758026498	reactomeFI.21
lung	11042	267	8361	224	0.001416573054574339	1.688845954883092	reactomeFI.21
lymph node	11042	456	8361	405	8.217729571748993e-13	2.6250998136811288	reactomeFI.21
nasopharynx	11042	363	8361	240	2.8207430951036815e-05	0.6146065154777887	reactomeFI.21
oral mucosa	11042	238	8361	191	0.1083762421317625	1.3101747441339617	reactomeFI.21
ovary	11042	134	8361	107	0.3104800831447757	1.2742553554281202	reactomeFI.21
pancreas	11042	198	8361	148	0.7383438253957628	0.9482235480336053	reactomeFI.21
parathyroid gland	11042	204	8361	140	0.02075601263882247	0.6963492884077362	reactomeFI.21
placenta	11042	412	8361	317	0.5982472276736504	1.0727341725771415	reactomeFI.21
prostate	11042	246	8361	186	0.9402130654468206	0.9938960244648318	reactomeFI.21
rectum	11042	489	8361	357	0.16064103657068646	0.8613051428831039	reactomeFI.21
salivary gland	11042	285	8361	194	0.0031986969975179792	0.6760791553249004	reactomeFI.21
seminal vesicle	11042	267	8361	203	0.9425059431133729	1.0175039072076488	reactomeFI.21
skeletal muscle	11042	403	8361	299	0.4776059145842855	0.9189872240138923	reactomeFI.21
skin 1	11042	120	8361	97	0.200607370465069	1.3564649185571784	reactomeFI.21
skin 2	11042	281	8361	220	0.3245774480317179	1.1606903731567193	reactomeFI.21
small intestine	11042	693	8361	497	0.013398017447597705	0.8012779755849441	reactomeFI.21
smooth muscle	11042	286	8361	221	0.5764286583152769	1.0926781326781327	reactomeFI.21
soft tissue 1	11042	93	8361	76	0.22373217295250683	1.4374951187475593	reactomeFI.21
soft tissue 2	11042	112	8361	99	0.0011848402046046405	2.459192223898106	reactomeFI.21
spleen	11042	400	8361	342	1.3141743073752395e-06	1.9287511126591586	reactomeFI.21
stomach 1	11042	632	8361	448	0.004123950981830814	0.7683119138017241	reactomeFI.21
stomach 2	11042	605	8361	436	0.0358686174973412	0.8177492393556456	reactomeFI.21
testis	11042	867	8361	500	2.803116410470706e-34	0.40104166847198963	reactomeFI.21
thyroid gland	11042	282	8361	207	0.36067821436433345	0.8820897718910964	reactomeFI.21
tonsil	11042	435	8361	376	2.499785127446773e-08	2.092635556074419	reactomeFI.21
urinary bladder	11042	337	8361	273	0.02023716443550029	1.380210265207715	reactomeFI.21
vagina	11042	234	8361	188	0.10539646929189514	1.3176471839939567	reactomeFI.21
adrenal gland	11042	571	8438	414	0.025877604470382433	0.8041623537032215	reactomeFI.22
appendix	11042	348	8438	290	0.0016335027016421868	1.562346588119784	reactomeFI.22
bone marrow	11042	646	8438	560	2.3744154589980353e-11	2.081274317056035	reactomeFI.22
breast	11042	77	8438	64	0.17984021528280925	1.523249618783414	reactomeFI.22
bronchus	11042	478	8438	314	5.717374348003912e-08	0.5750501375028522	reactomeFI.22
caudate	11042	504	8438	376	0.3336909068158726	0.9021644753162987	reactomeFI.22
cerebellum	11042	297	8438	229	0.8353938097756752	1.040364592663719	reactomeFI.22
cerebral cortex	11042	497	8438	373	0.48209887782174177	0.9249845009299442	reactomeFI.22
cervix	11042	160	8438	107	0.006265602459206024	0.6181889419603527	reactomeFI.22
colon	11042	271	8438	204	0.6638501606494525	0.9381342014725982	reactomeFI.22
duodenum	11042	679	8438	493	0.017291339455628624	0.8066708621774701	reactomeFI.22
endometrium 1	11042	195	8438	117	3.494844496256767e-07	0.4553539238072347	reactomeFI.22
endometrium 2	11042	148	8438	93	0.0001890721805539925	0.5164921836701345	reactomeFI.22
epididymis	11042	470	8438	316	3.7098666234959424e-06	0.6189698014371741	reactomeFI.22
esophagus	11042	294	8438	242	0.014766808375923627	1.4490745954874797	reactomeFI.22
fallopian tube	11042	408	8438	245	7.709060267330486e-14	0.4478198132627059	reactomeFI.22
gallbladder	11042	566	8438	415	0.07543410391209737	0.8402952438890507	reactomeFI.22
heart muscle	11042	428	8438	317	0.24559169739881642	0.8766960532752923	reactomeFI.22
hippocampus	11042	460	8438	355	0.7365115396589679	1.0452802177409377	reactomeFI.22
kidney	11042	424	8438	301	0.008595985946088056	0.7461460297287009	reactomeFI.22
liver	11042	222	8438	165	0.47225245643726227	0.8911996539154001	reactomeFI.22
lung	11042	267	8438	225	0.0016710043780654169	1.6711311335687324	reactomeFI.22
lymph node	11042	456	8438	405	8.722060644640415e-12	2.5238171952460804	reactomeFI.22
nasopharynx	11042	363	8438	236	5.897610167676451e-07	0.5611959441426808	reactomeFI.22
oral mucosa	11042	238	8438	195	0.04457672544680208	1.408933302111164	reactomeFI.22
ovary	11042	134	8438	100	0.6095654402759917	0.9065511548826775	reactomeFI.22
pancreas	11042	198	8438	153	0.865831547294978	1.0501629450814725	reactomeFI.22
parathyroid gland	11042	204	8438	146	0.11325992631151292	0.7729011760400553	reactomeFI.22
placenta	11042	412	8438	324	0.28773132917592453	1.1416631187397763	reactomeFI.22
prostate	11042	246	8438	186	0.7614412662695909	0.9556955889481338	reactomeFI.22
rectum	11042	489	8438	350	0.012089538512494263	0.7674127760106455	reactomeFI.22
salivary gland	11042	285	8438	200	0.013351528482645859	0.7194778858375105	reactomeFI.22
seminal vesicle	11042	267	8438	196	0.24323599573278754	0.8483993014139191	reactomeFI.22
skeletal muscle	11042	403	8438	298	0.23226835846016372	0.8713022113022113	reactomeFI.22
skin 1	11042	120	8438	98	0.19476278336569675	1.3790930891650317	reactomeFI.22
skin 2	11042	281	8438	221	0.39372606660181175	1.1403675307289765	reactomeFI.22
small intestine	11042	693	8438	495	0.0016645453257846943	0.7572705526879013	reactomeFI.22
smooth muscle	11042	286	8438	215	0.6214219721871181	0.9327924252311877	reactomeFI.22
soft tissue 1	11042	93	8438	71	1.0	0.9959146864847833	reactomeFI.22
soft tissue 2	11042	112	8438	94	0.072546176786139	1.618488334931288	reactomeFI.22
spleen	11042	400	8438	342	6.143543083972767e-06	1.8543256780700559	reactomeFI.22
stomach 1	11042	632	8438	449	0.001423969241711231	0.7435284992274213	reactomeFI.22
stomach 2	11042	605	8438	432	0.0036143338677535773	0.7582405681288167	reactomeFI.22
testis	11042	867	8438	513	5.483451901207532e-32	0.4114313211784206	reactomeFI.22
thyroid gland	11042	282	8438	206	0.17739741227786401	0.8323870901744156	reactomeFI.22
tonsil	11042	435	8438	380	6.534518149345153e-09	2.1855637536948036	reactomeFI.22
urinary bladder	11042	337	8438	265	0.3616321090367913	1.1402381826338757	reactomeFI.22
vagina	11042	234	8438	187	0.2137420516168469	1.2330136643656346	reactomeFI.22
adrenal gland	11042	571	10568	539	0.11197111162499777	0.7423409612124838	signalink
appendix	11042	348	10568	339	0.13724212787440293	1.7122885912601427	signalink
bone marrow	11042	646	10568	623	0.4225971697869349	1.2283778171246202	signalink
breast	11042	77	10568	71	0.1462126134920184	0.527579308373821	signalink
bronchus	11042	478	10568	448	0.03683740189637154	0.6551778656126482	signalink
caudate	11042	504	10568	484	0.8218915010469339	1.089527965093217	signalink
cerebellum	11042	297	10568	277	0.041603768604112	0.61100962005636	signalink
cerebral cortex	11042	497	10568	475	0.8211844781347559	0.9669167649946407	signalink
cervix	11042	160	10568	155	0.6916244579689748	1.3962354748871604	signalink
colon	11042	271	10568	261	0.7612081602363686	1.174968468031435	signalink
duodenum	11042	679	10568	639	0.039660828139616036	0.6982727364286434	signalink
endometrium 1	11042	195	10568	179	0.011574315935086258	0.4932019443642314	signalink
endometrium 2	11042	148	10568	136	0.03664213616700763	0.5019171779141104	signalink
epididymis	11042	470	10568	437	0.004985927159107082	0.5764395509731607	signalink
esophagus	11042	294	10568	285	0.37965767933868927	1.4319751045414761	signalink
fallopian tube	11042	408	10568	381	0.024305160332511972	0.6191878538005955	signalink
gallbladder	11042	566	10568	541	0.8315984624398063	0.9690196469532263	signalink
heart muscle	11042	428	10568	410	1.0	1.0225109929776202	signalink
hippocampus	11042	460	10568	444	0.479523851210484	1.2553832477281708	signalink
kidney	11042	424	10568	395	0.013719466033114934	0.595813122633611	signalink
liver	11042	222	10568	212	0.8663465911826547	0.9498648126689841	signalink
lung	11042	267	10568	262	0.046067033421239856	2.384591500097031	signalink
lymph node	11042	456	10568	442	0.23641848104392688	1.4342146101972293	signalink
nasopharynx	11042	363	10568	343	0.23556828061663515	0.7614767726161369	signalink
oral mucosa	11042	238	10568	228	1.0	1.0231334622823984	signalink
ovary	11042	134	10568	130	0.6652472022403003	1.46340295075685	signalink
pancreas	11042	198	10568	187	0.3728895276215757	0.7582121182930354	signalink
parathyroid gland	11042	204	10568	197	0.7258555855714586	1.2672562227089275	signalink
placenta	11042	412	10568	396	0.8040179896464177	1.1143826189539914	signalink
prostate	11042	246	10568	237	0.7505753594983842	1.1852676410802439	signalink
rectum	11042	489	10568	466	0.6472243097492004	0.9045389204031918	signalink
salivary gland	11042	285	10568	274	0.8819243113659319	1.1203525442888178	signalink
seminal vesicle	11042	267	10568	257	0.7609198716103558	1.1565124624187761	signalink
skeletal muscle	11042	403	10568	385	0.8025161640201812	0.9578054928148221	signalink
skin 1	11042	120	10568	117	0.4933329956307203	1.7576308487226102	signalink
skin 2	11042	281	10568	273	0.2945251632438548	1.5446576007770763	signalink
small intestine	11042	693	10568	653	0.05248554512249629	0.7145789208270298	signalink
smooth muscle	11042	286	10568	278	0.23813810299727034	1.573712342079689	signalink
soft tissue 1	11042	93	10568	89	1.0	0.9979482775073958	signalink
soft tissue 2	11042	112	10568	106	0.48409199212365034	0.7902886637354234	signalink
spleen	11042	400	10568	386	0.5288370796570389	1.2456155119678984	signalink
stomach 1	11042	632	10568	605	1.0	1.0053308352013561	signalink
stomach 2	11042	605	10568	573	0.21505311598099153	0.791852176088044	signalink
testis	11042	867	10568	750	9.550352920753256e-31	0.2330883620351944	signalink
thyroid gland	11042	282	10568	270	1.0	1.009419304719363	signalink
tonsil	11042	435	10568	420	0.46784775043419147	1.2664564446196296	signalink
urinary bladder	11042	337	10568	328	0.1702061803748125	1.6549479166666667	signalink
vagina	11042	234	10568	228	0.25091308192750805	1.7199226305609285	signalink
adrenal gland	11042	571	3537	177	0.6125629816052931	0.9507546229151559	signor
appendix	11042	348	3537	148	3.18540366629071e-05	1.5950722927117145	signor
bone marrow	11042	646	3537	308	1.7468883379439127e-17	2.022569135845454	signor
breast	11042	77	3537	24	1.0	0.9605723216731386	signor
bronchus	11042	478	3537	127	0.009099936246007207	0.7590863139250236	signor
caudate	11042	504	3537	165	0.7324484080970184	1.034364207056551	signor
cerebellum	11042	297	3537	103	0.3443374601817639	1.1303475253528992	signor
cerebral cortex	11042	497	3537	168	0.4030474286020391	1.0876641215588942	signor
cervix	11042	160	3537	30	0.0002185254155360092	0.4852931499638086	signor
colon	11042	271	3537	79	0.3231594429167012	0.8701546534605745	signor
duodenum	11042	679	3537	195	0.056201225755563855	0.8464119322818523	signor
endometrium 1	11042	195	3537	50	0.0532479771019725	0.7278265083116601	signor
endometrium 2	11042	148	3537	31	0.0033024548157985015	0.5583297984895247	signor
epididymis	11042	470	3537	133	0.0772043645557707	0.8310558009951636	signor
esophagus	11042	294	3537	89	0.5271814079609103	0.9191613377850716	signor
fallopian tube	11042	408	3537	94	5.9774076698471624e-05	0.6252453515024484	signor
gallbladder	11042	566	3537	173	0.45957137210050053	0.9306562828088456	signor
heart muscle	11042	428	3537	116	0.02642987363930452	0.7817364843088316	signor
hippocampus	11042	460	3537	161	0.1682681868458598	1.1493346700692673	signor
kidney	11042	424	3537	119	0.07978720667165154	0.8218783873226602	signor
liver	11042	222	3537	62	0.19172285039718454	0.819046762589928	signor
lung	11042	267	3537	109	0.0022222702046672906	1.478558926487748	signor
lymph node	11042	456	3537	241	6.7089916567974194e-21	2.479241928200497	signor
nasopharynx	11042	363	3537	99	0.051693596752179216	0.7898123909249564	signor
oral mucosa	11042	238	3537	78	0.8331787384823881	1.0351799653078924	signor
ovary	11042	134	3537	41	0.7802025912442059	0.9346841859206221	signor
pancreas	11042	198	3537	52	0.09057772463814057	0.7520842750732101	signor
parathyroid gland	11042	204	3537	62	0.6499621701051148	0.9251312189684872	signor
placenta	11042	412	3537	153	0.02724015322500932	1.2649100468249403	signor
prostate	11042	246	3537	79	1.0	1.0038373224632287	signor
rectum	11042	489	3537	137	0.053197750523432986	0.8188176804812834	signor
salivary gland	11042	285	3537	76	0.053501011939539656	0.7665677287173964	signor
seminal vesicle	11042	267	3537	92	0.3887234691432022	1.1185735019697285	signor
skeletal muscle	11042	403	3537	104	0.006474796496027015	0.7301004318697045	signor
skin 1	11042	120	3537	30	0.11503792653351944	0.7047809143617527	signor
skin 2	11042	281	3537	68	0.004300289643739873	0.6710759415723707	signor
small intestine	11042	693	3537	191	0.00910818961350067	0.7963203968346578	signor
smooth muscle	11042	286	3537	96	0.5640829376161729	1.074106364428945	signor
soft tissue 1	11042	93	3537	28	0.7387778045229199	0.9133437095819541	signor
soft tissue 2	11042	112	3537	42	0.22235988249143804	1.2763948497854076	signor
spleen	11042	400	3537	194	3.6862565622895675e-12	2.0561817331679877	signor
stomach 1	11042	632	3537	177	0.025187164105472316	0.8162284144427001	signor
stomach 2	11042	605	3537	170	0.03510472263510253	0.8206084068153033	signor
testis	11042	867	3537	165	5.78344554072186e-19	0.47419802090620594	signor
thyroid gland	11042	282	3537	96	0.477158965066643	1.0978054016555578	signor
tonsil	11042	435	3537	206	1.289736004864166e-11	1.9649422718173464	signor
urinary bladder	11042	337	3537	119	0.1924365378353089	1.1637700570643275	signor
vagina	11042	234	3537	74	0.9435872746419477	0.9809594282414091	signor
adrenal gland	11042	571	6671	295	1.5852893236581994e-05	0.6864652092084447	spike
appendix	11042	348	6671	212	0.8674272891478093	1.022080453175232	spike
bone marrow	11042	646	6671	422	0.008962516559111365	1.2502243216057427	spike
breast	11042	77	6671	47	1.0	1.0267059178743962	spike
bronchus	11042	478	6671	224	1.0186788495341539e-09	0.5631673890926501	spike
caudate	11042	504	6671	274	0.00511195872602804	0.771172628473945	spike
